Field_Champ,Start_Debut,Length_Longueur,Variable_Variable
1,1,7,rec_num
2,8,4,survyear
3,12,2,survmnth
4,14,1,lfsstat    
5,15,2,prov
6,17,1,cma
7,18,2,age_12
8,20,1,age_6    
9,21,1,gender
10,22,1,marstat
11,24,1,educ
12,25,1,mjh
13,26,1,everwork
14,27,1,ftptlast
15,28,1,cowmain
16,29,1,immig
17,33,2,naics_21
18,41,2,noc_10    
19,43,2,noc_43    
20,45,1,yabsent
21,46,2,wksaway
22,48,1,payaway
23,49,3,uhrsmain
24,52,3,ahrsmain
25,55,1,ftptmain
26,56,3,utothrs
27,59,3,atothrs
28,62,3,hrsaway
29,65,1,yaway
30,66,3,paidot
31,69,3,unpaidot
32,72,3,xtrahrs
33,76,1,whypt
34,77,3,tenure
35,80,3,prevten
36,83,6,hrlyearn
37,89,1,union
38,90,1,permtemp
39,91,1,estsize
40,92,1,firmsize
41,93,2,durunemp
42,95,1,flowunem
43,96,1,unemftpt
44,97,1,whylefto
45,98,2,whyleftn
46,100,3,durjless
47,103,1,availabl
48,104,1,lkpubag
49,105,1,lkemploy
50,106,1,lkrels
51,107,1,lkatads
52,108,1,lkansads
53,109,1,lkothern 
54,110,1,prioract
55,112,1,ynolook
56,113,1,tlolook
57,114,1,schooln
58,116,2,efamtype
59,132,1,agyownk
60,134,5,finalwt
